PassengerId,Status,Pclass,Sex,Age,Count,PclassSex,Survived
1,Dead,Pclass 3,male,22,1,Pclass 3 male,0
2,Survived,Pclass 1,female,38,1,Pclass 1 female,1
3,Survived,Pclass 3,female,26,1,Pclass 3 female,1
4,Survived,Pclass 1,female,35,1,Pclass 1 female,1
5,Dead,Pclass 3,male,35,1,Pclass 3 male,0
7,Dead,Pclass 1,male,54,1,Pclass 1 male,0
8,Dead,Pclass 3,male,2,1,Pclass 3 male,0
9,Survived,Pclass 3,female,27,1,Pclass 3 female,1
10,Survived,Pclass 2,female,14,1,Pclass 2 female,1
11,Survived,Pclass 3,female,4,1,Pclass 3 female,1
12,Survived,Pclass 1,female,58,1,Pclass 1 female,1
13,Dead,Pclass 3,male,20,1,Pclass 3 male,0
14,Dead,Pclass 3,male,39,1,Pclass 3 male,0
15,Dead,Pclass 3,female,14,1,Pclass 3 female,0
16,Survived,Pclass 2,female,55,1,Pclass 2 female,1
17,Dead,Pclass 3,male,2,1,Pclass 3 male,0
19,Dead,Pclass 3,female,31,1,Pclass 3 female,0
21,Dead,Pclass 2,male,35,1,Pclass 2 male,0
22,Survived,Pclass 2,male,34,1,Pclass 2 male,1
23,Survived,Pclass 3,female,15,1,Pclass 3 female,1
24,Survived,Pclass 1,male,28,1,Pclass 1 male,1
25,Dead,Pclass 3,female,8,1,Pclass 3 female,0
26,Survived,Pclass 3,female,38,1,Pclass 3 female,1
28,Dead,Pclass 1,male,19,1,Pclass 1 male,0
31,Dead,Pclass 1,male,40,1,Pclass 1 male,0
34,Dead,Pclass 2,male,66,1,Pclass 2 male,0
35,Dead,Pclass 1,male,28,1,Pclass 1 male,0
36,Dead,Pclass 1,male,42,1,Pclass 1 male,0
38,Dead,Pclass 3,male,21,1,Pclass 3 male,0
39,Dead,Pclass 3,female,18,1,Pclass 3 female,0
40,Survived,Pclass 3,female,14,1,Pclass 3 female,1
41,Dead,Pclass 3,female,40,1,Pclass 3 female,0
42,Dead,Pclass 2,female,27,1,Pclass 2 female,0
44,Survived,Pclass 2,female,3,1,Pclass 2 female,1
45,Survived,Pclass 3,female,19,1,Pclass 3 female,1
50,Dead,Pclass 3,female,18,1,Pclass 3 female,0
51,Dead,Pclass 3,male,7,1,Pclass 3 male,0
52,Dead,Pclass 3,male,21,1,Pclass 3 male,0
53,Survived,Pclass 1,female,49,1,Pclass 1 female,1
54,Survived,Pclass 2,female,29,1,Pclass 2 female,1
55,Dead,Pclass 1,male,65,1,Pclass 1 male,0
57,Survived,Pclass 2,female,21,1,Pclass 2 female,1
58,Dead,Pclass 3,male,28.5,1,Pclass 3 male,0
59,Survived,Pclass 2,female,5,1,Pclass 2 female,1
60,Dead,Pclass 3,male,11,1,Pclass 3 male,0
61,Dead,Pclass 3,male,22,1,Pclass 3 male,0
62,Survived,Pclass 1,female,38,1,Pclass 1 female,1
63,Dead,Pclass 1,male,45,1,Pclass 1 male,0
64,Dead,Pclass 3,male,4,1,Pclass 3 male,0
67,Survived,Pclass 2,female,29,1,Pclass 2 female,1
68,Dead,Pclass 3,male,19,1,Pclass 3 male,0
69,Survived,Pclass 3,female,17,1,Pclass 3 female,1
70,Dead,Pclass 3,male,26,1,Pclass 3 male,0
71,Dead,Pclass 2,male,32,1,Pclass 2 male,0
72,Dead,Pclass 3,female,16,1,Pclass 3 female,0
73,Dead,Pclass 2,male,21,1,Pclass 2 male,0
74,Dead,Pclass 3,male,26,1,Pclass 3 male,0
75,Survived,Pclass 3,male,32,1,Pclass 3 male,1
76,Dead,Pclass 3,male,25,1,Pclass 3 male,0
79,Survived,Pclass 2,male,0.83,1,Pclass 2 male,1
80,Survived,Pclass 3,female,30,1,Pclass 3 female,1
81,Dead,Pclass 3,male,22,1,Pclass 3 male,0
82,Survived,Pclass 3,male,29,1,Pclass 3 male,1
84,Dead,Pclass 1,male,28,1,Pclass 1 male,0
85,Survived,Pclass 2,female,17,1,Pclass 2 female,1
86,Survived,Pclass 3,female,33,1,Pclass 3 female,1
87,Dead,Pclass 3,male,16,1,Pclass 3 male,0
89,Survived,Pclass 1,female,23,1,Pclass 1 female,1
90,Dead,Pclass 3,male,24,1,Pclass 3 male,0
91,Dead,Pclass 3,male,29,1,Pclass 3 male,0
92,Dead,Pclass 3,male,20,1,Pclass 3 male,0
93,Dead,Pclass 1,male,46,1,Pclass 1 male,0
94,Dead,Pclass 3,male,26,1,Pclass 3 male,0
95,Dead,Pclass 3,male,59,1,Pclass 3 male,0
97,Dead,Pclass 1,male,71,1,Pclass 1 male,0
98,Survived,Pclass 1,male,23,1,Pclass 1 male,1
99,Survived,Pclass 2,female,34,1,Pclass 2 female,1
100,Dead,Pclass 2,male,34,1,Pclass 2 male,0
101,Dead,Pclass 3,female,28,1,Pclass 3 female,0
103,Dead,Pclass 1,male,21,1,Pclass 1 male,0
104,Dead,Pclass 3,male,33,1,Pclass 3 male,0
105,Dead,Pclass 3,male,37,1,Pclass 3 male,0
106,Dead,Pclass 3,male,28,1,Pclass 3 male,0
107,Survived,Pclass 3,female,21,1,Pclass 3 female,1
109,Dead,Pclass 3,male,38,1,Pclass 3 male,0
111,Dead,Pclass 1,male,47,1,Pclass 1 male,0
112,Dead,Pclass 3,female,14.5,1,Pclass 3 female,0
113,Dead,Pclass 3,male,22,1,Pclass 3 male,0
114,Dead,Pclass 3,female,20,1,Pclass 3 female,0
115,Dead,Pclass 3,female,17,1,Pclass 3 female,0
116,Dead,Pclass 3,male,21,1,Pclass 3 male,0
117,Dead,Pclass 3,male,70.5,1,Pclass 3 male,0
118,Dead,Pclass 2,male,29,1,Pclass 2 male,0
119,Dead,Pclass 1,male,24,1,Pclass 1 male,0
120,Dead,Pclass 3,female,2,1,Pclass 3 female,0
121,Dead,Pclass 2,male,21,1,Pclass 2 male,0
123,Dead,Pclass 2,male,32.5,1,Pclass 2 male,0
124,Survived,Pclass 2,female,32.5,1,Pclass 2 female,1
125,Dead,Pclass 1,male,54,1,Pclass 1 male,0
126,Survived,Pclass 3,male,12,1,Pclass 3 male,1
128,Survived,Pclass 3,male,24,1,Pclass 3 male,1
130,Dead,Pclass 3,male,45,1,Pclass 3 male,0
131,Dead,Pclass 3,male,33,1,Pclass 3 male,0
132,Dead,Pclass 3,male,20,1,Pclass 3 male,0
133,Dead,Pclass 3,female,47,1,Pclass 3 female,0
134,Survived,Pclass 2,female,29,1,Pclass 2 female,1
135,Dead,Pclass 2,male,25,1,Pclass 2 male,0
136,Dead,Pclass 2,male,23,1,Pclass 2 male,0
137,Survived,Pclass 1,female,19,1,Pclass 1 female,1
138,Dead,Pclass 1,male,37,1,Pclass 1 male,0
139,Dead,Pclass 3,male,16,1,Pclass 3 male,0
140,Dead,Pclass 1,male,24,1,Pclass 1 male,0
142,Survived,Pclass 3,female,22,1,Pclass 3 female,1
143,Survived,Pclass 3,female,24,1,Pclass 3 female,1
144,Dead,Pclass 3,male,19,1,Pclass 3 male,0
145,Dead,Pclass 2,male,18,1,Pclass 2 male,0
146,Dead,Pclass 2,male,19,1,Pclass 2 male,0
147,Survived,Pclass 3,male,27,1,Pclass 3 male,1
148,Dead,Pclass 3,female,9,1,Pclass 3 female,0
149,Dead,Pclass 2,male,36.5,1,Pclass 2 male,0
150,Dead,Pclass 2,male,42,1,Pclass 2 male,0
151,Dead,Pclass 2,male,51,1,Pclass 2 male,0
152,Survived,Pclass 1,female,22,1,Pclass 1 female,1
153,Dead,Pclass 3,male,55.5,1,Pclass 3 male,0
154,Dead,Pclass 3,male,40.5,1,Pclass 3 male,0
156,Dead,Pclass 1,male,51,1,Pclass 1 male,0
157,Survived,Pclass 3,female,16,1,Pclass 3 female,1
158,Dead,Pclass 3,male,30,1,Pclass 3 male,0
161,Dead,Pclass 3,male,44,1,Pclass 3 male,0
162,Survived,Pclass 2,female,40,1,Pclass 2 female,1
163,Dead,Pclass 3,male,26,1,Pclass 3 male,0
164,Dead,Pclass 3,male,17,1,Pclass 3 male,0
165,Dead,Pclass 3,male,1,1,Pclass 3 male,0
166,Survived,Pclass 3,male,9,1,Pclass 3 male,1
168,Dead,Pclass 3,female,45,1,Pclass 3 female,0
170,Dead,Pclass 3,male,28,1,Pclass 3 male,0
171,Dead,Pclass 1,male,61,1,Pclass 1 male,0
172,Dead,Pclass 3,male,4,1,Pclass 3 male,0
173,Survived,Pclass 3,female,1,1,Pclass 3 female,1
174,Dead,Pclass 3,male,21,1,Pclass 3 male,0
175,Dead,Pclass 1,male,56,1,Pclass 1 male,0
176,Dead,Pclass 3,male,18,1,Pclass 3 male,0
178,Dead,Pclass 1,female,50,1,Pclass 1 female,0
179,Dead,Pclass 2,male,30,1,Pclass 2 male,0
180,Dead,Pclass 3,male,36,1,Pclass 3 male,0
183,Dead,Pclass 3,male,9,1,Pclass 3 male,0
184,Survived,Pclass 2,male,1,1,Pclass 2 male,1
185,Survived,Pclass 3,female,4,1,Pclass 3 female,1
188,Survived,Pclass 1,male,45,1,Pclass 1 male,1
189,Dead,Pclass 3,male,40,1,Pclass 3 male,0
190,Dead,Pclass 3,male,36,1,Pclass 3 male,0
191,Survived,Pclass 2,female,32,1,Pclass 2 female,1
192,Dead,Pclass 2,male,19,1,Pclass 2 male,0
193,Survived,Pclass 3,female,19,1,Pclass 3 female,1
194,Survived,Pclass 2,male,3,1,Pclass 2 male,1
195,Survived,Pclass 1,female,44,1,Pclass 1 female,1
196,Survived,Pclass 1,female,58,1,Pclass 1 female,1
198,Dead,Pclass 3,male,42,1,Pclass 3 male,0
200,Dead,Pclass 2,female,24,1,Pclass 2 female,0
201,Dead,Pclass 3,male,28,1,Pclass 3 male,0
203,Dead,Pclass 3,male,34,1,Pclass 3 male,0
204,Dead,Pclass 3,male,45.5,1,Pclass 3 male,0
