PassengerId,Survived,Pclass,Sex,Age,Count
1,Dead,Pclass 3,male,22,1
2,Survived,Pclass 1,female,38,1
3,Survived,Pclass 3,female,26,1
4,Survived,Pclass 1,female,35,1
5,Dead,Pclass 3,male,35,1
7,Dead,Pclass 1,male,54,1
8,Dead,Pclass 3,male,2,1
9,Survived,Pclass 3,female,27,1
10,Survived,Pclass 2,female,14,1
11,Survived,Pclass 3,female,4,1
12,Survived,Pclass 1,female,58,1
13,Dead,Pclass 3,male,20,1
14,Dead,Pclass 3,male,39,1
15,Dead,Pclass 3,female,14,1
16,Survived,Pclass 2,female,55,1
17,Dead,Pclass 3,male,2,1
19,Dead,Pclass 3,female,31,1
21,Dead,Pclass 2,male,35,1
22,Survived,Pclass 2,male,34,1
23,Survived,Pclass 3,female,15,1
24,Survived,Pclass 1,male,28,1
25,Dead,Pclass 3,female,8,1
26,Survived,Pclass 3,female,38,1
28,Dead,Pclass 1,male,19,1
31,Dead,Pclass 1,male,40,1
34,Dead,Pclass 2,male,66,1
35,Dead,Pclass 1,male,28,1
36,Dead,Pclass 1,male,42,1
38,Dead,Pclass 3,male,21,1
39,Dead,Pclass 3,female,18,1
40,Survived,Pclass 3,female,14,1
41,Dead,Pclass 3,female,40,1
42,Dead,Pclass 2,female,27,1
44,Survived,Pclass 2,female,3,1
45,Survived,Pclass 3,female,19,1
50,Dead,Pclass 3,female,18,1
51,Dead,Pclass 3,male,7,1
52,Dead,Pclass 3,male,21,1
53,Survived,Pclass 1,female,49,1
54,Survived,Pclass 2,female,29,1
55,Dead,Pclass 1,male,65,1
57,Survived,Pclass 2,female,21,1
58,Dead,Pclass 3,male,28.5,1
59,Survived,Pclass 2,female,5,1
60,Dead,Pclass 3,male,11,1
61,Dead,Pclass 3,male,22,1
62,Survived,Pclass 1,female,38,1
63,Dead,Pclass 1,male,45,1
64,Dead,Pclass 3,male,4,1
67,Survived,Pclass 2,female,29,1
68,Dead,Pclass 3,male,19,1
69,Survived,Pclass 3,female,17,1
70,Dead,Pclass 3,male,26,1
71,Dead,Pclass 2,male,32,1
72,Dead,Pclass 3,female,16,1
73,Dead,Pclass 2,male,21,1
74,Dead,Pclass 3,male,26,1
75,Survived,Pclass 3,male,32,1
76,Dead,Pclass 3,male,25,1
79,Survived,Pclass 2,male,0.83,1
80,Survived,Pclass 3,female,30,1
81,Dead,Pclass 3,male,22,1
82,Survived,Pclass 3,male,29,1
84,Dead,Pclass 1,male,28,1
85,Survived,Pclass 2,female,17,1
86,Survived,Pclass 3,female,33,1
87,Dead,Pclass 3,male,16,1
89,Survived,Pclass 1,female,23,1
90,Dead,Pclass 3,male,24,1
91,Dead,Pclass 3,male,29,1
92,Dead,Pclass 3,male,20,1
93,Dead,Pclass 1,male,46,1
94,Dead,Pclass 3,male,26,1
95,Dead,Pclass 3,male,59,1
97,Dead,Pclass 1,male,71,1
98,Survived,Pclass 1,male,23,1
99,Survived,Pclass 2,female,34,1
100,Dead,Pclass 2,male,34,1
101,Dead,Pclass 3,female,28,1
103,Dead,Pclass 1,male,21,1
104,Dead,Pclass 3,male,33,1
105,Dead,Pclass 3,male,37,1
106,Dead,Pclass 3,male,28,1
107,Survived,Pclass 3,female,21,1
109,Dead,Pclass 3,male,38,1
111,Dead,Pclass 1,male,47,1
112,Dead,Pclass 3,female,14.5,1
113,Dead,Pclass 3,male,22,1
114,Dead,Pclass 3,female,20,1
115,Dead,Pclass 3,female,17,1
116,Dead,Pclass 3,male,21,1
117,Dead,Pclass 3,male,70.5,1
118,Dead,Pclass 2,male,29,1
119,Dead,Pclass 1,male,24,1
120,Dead,Pclass 3,female,2,1
121,Dead,Pclass 2,male,21,1
123,Dead,Pclass 2,male,32.5,1
124,Survived,Pclass 2,female,32.5,1
125,Dead,Pclass 1,male,54,1
126,Survived,Pclass 3,male,12,1
128,Survived,Pclass 3,male,24,1
130,Dead,Pclass 3,male,45,1
131,Dead,Pclass 3,male,33,1
132,Dead,Pclass 3,male,20,1
133,Dead,Pclass 3,female,47,1
134,Survived,Pclass 2,female,29,1
135,Dead,Pclass 2,male,25,1
136,Dead,Pclass 2,male,23,1
137,Survived,Pclass 1,female,19,1
138,Dead,Pclass 1,male,37,1
139,Dead,Pclass 3,male,16,1
140,Dead,Pclass 1,male,24,1
142,Survived,Pclass 3,female,22,1
143,Survived,Pclass 3,female,24,1
144,Dead,Pclass 3,male,19,1
145,Dead,Pclass 2,male,18,1
146,Dead,Pclass 2,male,19,1
147,Survived,Pclass 3,male,27,1
148,Dead,Pclass 3,female,9,1
149,Dead,Pclass 2,male,36.5,1
150,Dead,Pclass 2,male,42,1
151,Dead,Pclass 2,male,51,1
152,Survived,Pclass 1,female,22,1
153,Dead,Pclass 3,male,55.5,1
154,Dead,Pclass 3,male,40.5,1
156,Dead,Pclass 1,male,51,1
157,Survived,Pclass 3,female,16,1
158,Dead,Pclass 3,male,30,1
161,Dead,Pclass 3,male,44,1
162,Survived,Pclass 2,female,40,1
163,Dead,Pclass 3,male,26,1
164,Dead,Pclass 3,male,17,1
165,Dead,Pclass 3,male,1,1
166,Survived,Pclass 3,male,9,1
168,Dead,Pclass 3,female,45,1
170,Dead,Pclass 3,male,28,1
171,Dead,Pclass 1,male,61,1
172,Dead,Pclass 3,male,4,1
173,Survived,Pclass 3,female,1,1
174,Dead,Pclass 3,male,21,1
175,Dead,Pclass 1,male,56,1
176,Dead,Pclass 3,male,18,1
178,Dead,Pclass 1,female,50,1
179,Dead,Pclass 2,male,30,1
180,Dead,Pclass 3,male,36,1
183,Dead,Pclass 3,male,9,1
184,Survived,Pclass 2,male,1,1
185,Survived,Pclass 3,female,4,1
188,Survived,Pclass 1,male,45,1
189,Dead,Pclass 3,male,40,1
190,Dead,Pclass 3,male,36,1
191,Survived,Pclass 2,female,32,1
192,Dead,Pclass 2,male,19,1
193,Survived,Pclass 3,female,19,1
194,Survived,Pclass 2,male,3,1
195,Survived,Pclass 1,female,44,1
196,Survived,Pclass 1,female,58,1
198,Dead,Pclass 3,male,42,1
200,Dead,Pclass 2,female,24,1
201,Dead,Pclass 3,male,28,1
203,Dead,Pclass 3,male,34,1
204,Dead,Pclass 3,male,45.5,1
205,Survived,Pclass 3,male,18,1
206,Dead,Pclass 3,female,2,1
207,Dead,Pclass 3,male,32,1
208,Survived,Pclass 3,male,26,1
209,Survived,Pclass 3,female,16,1
210,Survived,Pclass 1,male,40,1
211,Dead,Pclass 3,male,24,1
212,Survived,Pclass 2,female,35,1
213,Dead,Pclass 3,male,22,1
214,Dead,Pclass 2,male,30,1
216,Survived,Pclass 1,female,31,1
217,Survived,Pclass 3,female,27,1
218,Dead,Pclass 2,male,42,1
219,Survived,Pclass 1,female,32,1
220,Dead,Pclass 2,male,30,1
221,Survived,Pclass 3,male,16,1
222,Dead,Pclass 2,male,27,1
223,Dead,Pclass 3,male,51,1
225,Survived,Pclass 1,male,38,1
226,Dead,Pclass 3,male,22,1
227,Survived,Pclass 2,male,19,1
228,Dead,Pclass 3,male,20.5,1
229,Dead,Pclass 2,male,18,1
231,Survived,Pclass 1,female,35,1
232,Dead,Pclass 3,male,29,1
233,Dead,Pclass 2,male,59,1
234,Survived,Pclass 3,female,5,1
235,Dead,Pclass 2,male,24,1
237,Dead,Pclass 2,male,44,1
238,Survived,Pclass 2,female,8,1
239,Dead,Pclass 2,male,19,1
240,Dead,Pclass 2,male,33,1
243,Dead,Pclass 2,male,29,1
244,Dead,Pclass 3,male,22,1
245,Dead,Pclass 3,male,30,1
246,Dead,Pclass 1,male,44,1
247,Dead,Pclass 3,female,25,1
248,Survived,Pclass 2,female,24,1
249,Survived,Pclass 1,male,37,1
250,Dead,Pclass 2,male,54,1
252,Dead,Pclass 3,female,29,1
253,Dead,Pclass 1,male,62,1
254,Dead,Pclass 3,male,30,1
255,Dead,Pclass 3,female,41,1
256,Survived,Pclass 3,female,29,1
258,Survived,Pclass 1,female,30,1
259,Survived,Pclass 1,female,35,1
260,Survived,Pclass 2,female,50,1
262,Survived,Pclass 3,male,3,1
263,Dead,Pclass 1,male,52,1
264,Dead,Pclass 1,male,40,1
266,Dead,Pclass 2,male,36,1
267,Dead,Pclass 3,male,16,1
268,Survived,Pclass 3,male,25,1
269,Survived,Pclass 1,female,58,1
270,Survived,Pclass 1,female,35,1
272,Survived,Pclass 3,male,25,1
273,Survived,Pclass 2,female,41,1
274,Dead,Pclass 1,male,37,1
276,Survived,Pclass 1,female,63,1
277,Dead,Pclass 3,female,45,1
279,Dead,Pclass 3,male,7,1
280,Survived,Pclass 3,female,35,1
281,Dead,Pclass 3,male,65,1
282,Dead,Pclass 3,male,28,1
283,Dead,Pclass 3,male,16,1
284,Survived,Pclass 3,male,19,1
286,Dead,Pclass 3,male,33,1
287,Survived,Pclass 3,male,30,1
288,Dead,Pclass 3,male,22,1
289,Survived,Pclass 2,male,42,1
290,Survived,Pclass 3,female,22,1
291,Survived,Pclass 1,female,26,1
292,Survived,Pclass 1,female,19,1
293,Dead,Pclass 2,male,36,1
294,Dead,Pclass 3,female,24,1
295,Dead,Pclass 3,male,24,1
297,Dead,Pclass 3,male,23.5,1
298,Dead,Pclass 1,female,2,1
300,Survived,Pclass 1,female,50,1
303,Dead,Pclass 3,male,19,1
306,Survived,Pclass 1,male,0.92,1
308,Survived,Pclass 1,female,17,1
309,Dead,Pclass 2,male,30,1
310,Survived,Pclass 1,female,30,1
311,Survived,Pclass 1,female,24,1
312,Survived,Pclass 1,female,18,1
313,Dead,Pclass 2,female,26,1
314,Dead,Pclass 3,male,28,1
315,Dead,Pclass 2,male,43,1
316,Survived,Pclass 3,female,26,1
317,Survived,Pclass 2,female,24,1
318,Dead,Pclass 2,male,54,1
319,Survived,Pclass 1,female,31,1
320,Survived,Pclass 1,female,40,1
321,Dead,Pclass 3,male,22,1
322,Dead,Pclass 3,male,27,1
323,Survived,Pclass 2,female,30,1
324,Survived,Pclass 2,female,22,1
326,Survived,Pclass 1,female,36,1
